FIPS,CountyState,Latitude,Longitude,State,Type,Region,VoteDemocratic2016,VoteRepublican2016,VotesTotal2016,DifferenceVotes2016,PercentageDemocratic2016,PercentageRepublican2016,DemocratOrRepublican,X15,C Income/Capita,College2014,BlackPercentage,AsianPercentage,HispanicPercentage,ForeignBornPercentage,PovertyPercentage2014,PopulationDensity,LandArea,Obese2013,MedianIncomeHousehold2014
28073,"Leflore County, Mississippi",33.564765,-90.26622,MS,County,Atlantic-S,7787,3212,11140,-4575,0.7,0.29,1,,21799,0.56,0.29,0.01,0.02,0.02,0.18,184.2,450,0.33,43374
28075,"Lincoln County, Mississippi",31.53998,-90.4471,MS,County,Atlantic-S,4458,10550,15193,6092,0.29,0.69,0,,14307,0.42,0.73,0.01,0.03,0.03,0.4,54.5,593,0.44,26439
28077,"Lowndes County, Mississippi",33.508233,-88.42232,MS,County,Atlantic-S,11819,13271,25575,1452,0.46,0.52,0,,19566,0.48,0.31,0,0.01,0.01,0.24,59.5,586,0.39,36118
28079,"Madison County, Mississippi",32.570561,-90.08398,MS,County,Atlantic-S,20343,28265,49802,7922,0.41,0.57,0,,20951,0.53,0.44,0.01,0.02,0.02,0.25,118.1,506,0.34,39937
28081,"Marion County, Mississippi",31.240902,-89.82372,MS,County,Atlantic-S,3677,7836,11693,4159,0.31,0.67,0,,33170,0.74,0.38,0.02,0.03,0.04,0.13,133.2,715,0.29,66671
28083,"Marshall County, Mississippi",34.771173,-89.49483,MS,County,Atlantic-S,8023,6587,14839,-1436,0.54,0.44,1,,18126,0.4,0.33,0,0.01,0,0.28,50,542,0.34,33428
28085,"Monroe County, Mississippi",33.899309,-88.50082,MS,County,Atlantic-S,5524,10167,15884,4643,0.35,0.64,0,,17978,0.38,0.47,0,0.03,0.02,0.22,52.6,706,0.39,37554
28087,"Montgomery County, Mississippi",33.480389,-89.65142,MS,County,Atlantic-S,2115,2818,4996,703,0.42,0.56,0,,18167,0.42,0.31,0,0.01,0,0.22,48.4,765,0.38,36810
28089,"Neshoba County, Mississippi",32.747316,-89.12996,MS,County,Atlantic-S,2715,7679,10553,4964,0.26,0.73,0,,15523,0.4,0.45,0,0.01,0,0.31,26.8,407,0.38,31963
28091,"Newton County, Mississippi",32.405252,-89.11831,MS,County,Atlantic-S,2756,6548,9438,3792,0.29,0.69,0,,18693,0.47,0.21,0.01,0.02,0.01,0.24,52.1,570,0.38,37686
28093,"Noxubee County, Mississippi",33.115598,-88.58159,MS,County,Atlantic-S,4347,1200,5574,-3147,0.78,0.22,1,,18864,0.52,0.3,0,0.02,0.01,0.19,37.6,578,0.35,35185
28095,"Oktibbeha County, Mississippi",33.439846,-88.86234,MS,County,Atlantic-S,8859,8576,18124,-283,0.49,0.47,1,,12780,0.34,0.72,0,0.01,0.01,0.35,16.6,695,0.41,28730
28097,"Panola County, Mississippi",34.364489,-89.96222,MS,County,Atlantic-S,7431,7449,15064,18,0.49,0.49,0,,20202,0.67,0.37,0.03,0.02,0.04,0.34,104.1,458,0.34,34429
28099,"Pearl River County, Mississippi",30.716802,-89.60504,MS,County,Atlantic-S,3604,17782,21883,14178,0.17,0.81,0,,18073,0.44,0.5,0,0.02,0,0.25,50.7,685,0.36,34526
28101,"Perry County, Mississippi",31.21461,-88.99095,MS,County,Atlantic-S,1220,4135,5432,2915,0.23,0.76,0,,20549,0.49,0.13,0.01,0.03,0.02,0.22,68.8,811,0.34,38465
28103,"Pike County, Mississippi",31.200988,-90.4339,MS,County,Atlantic-S,8043,8009,16310,-34,0.49,0.49,1,,17183,0.41,0.2,0,0.01,0,0.21,18.9,647,0.37,32459
28105,"Pontotoc County, Mississippi",34.247321,-89.01561,MS,County,Atlantic-S,2386,10336,12984,7950,0.18,0.8,0,,18183,0.47,0.52,0.01,0.01,0.01,0.28,98.8,409,0.37,30078
28107,"Prentiss County, Mississippi",34.617939,-88.53007,MS,County,Atlantic-S,2067,7648,9872,5581,0.21,0.77,0,,18576,0.42,0.15,0,0.06,0.02,0.14,60.2,498,0.31,40198
28109,"Quitman County, Mississippi",34.260657,-90.26743,MS,County,Atlantic-S,2312,1001,3365,-1311,0.69,0.3,1,,16589,0.4,0.14,0,0.01,0,0.24,60.9,415,0.33,34794
28111,"Rankin County, Mississippi",32.265894,-89.99889,MS,County,Atlantic-S,14110,47178,62768,33068,0.23,0.75,0,,13954,0.4,0.7,0,0.01,0.01,0.41,20.3,405,0.42,26204
28113,"Scott County, Mississippi",32.392083,-89.51794,MS,County,Atlantic-S,4268,6122,10522,1854,0.41,0.58,0,,26897,0.62,0.2,0.01,0.02,0.02,0.12,182.7,775,0.32,58368
28115,"Sharkey County, Mississippi",32.915089,-90.83701,MS,County,Atlantic-S,1479,692,2190,-787,0.68,0.32,1,,16789,0.38,0.38,0,0.11,0.07,0.25,46.4,609,0.34,32049
28117,"Simpson County, Mississippi",31.911087,-89.86162,MS,County,Atlantic-S,3874,7393,11419,3519,0.34,0.65,0,,15744,0.45,0.71,0,0.01,0,0.31,11.4,432,0.38,27877
28119,"Smith County, Mississippi",31.985054,-89.51802,MS,County,Atlantic-S,1617,5928,7627,4311,0.21,0.78,0,,18314,0.41,0.36,0,0.02,0.02,0.23,46.7,589,0.38,34338
28121,"Stone County, Mississippi",30.796,-89.12952,MS,County,Atlantic-S,1573,5306,7045,3733,0.22,0.75,0,,20334,0.39,0.23,0,0.01,0.01,0.24,25.9,636,0.37,38975
28123,"Sunflower County, Mississippi",33.587683,-90.58367,MS,County,Atlantic-S,6725,2794,9598,-3931,0.7,0.29,1,,18576,0.52,0.2,0,0.01,0.01,0.18,40,445,0.36,41136
28125,"Tallahatchie County, Mississippi",33.944274,-90.22847,MS,County,Atlantic-S,3337,2462,5870,-875,0.57,0.42,1,,12588,0.42,0.73,0,0.02,0.01,0.36,42.2,698,0.42,29227
28127,"Tate County, Mississippi",34.644651,-89.96466,MS,County,Atlantic-S,3926,7495,11627,3569,0.34,0.64,0,,12747,0.33,0.57,0.01,0.06,0.05,0.3,23.8,645,0.4,28456
28129,"Tippah County, Mississippi",34.768954,-88.92583,MS,County,Atlantic-S,1842,7240,9235,5398,0.2,0.78,0,,20431,0.52,0.31,0,0.03,0.02,0.19,71.3,405,0.37,40975
